datetime,city,weather_main,weather_description,temp,feels_like,pressure,wind_speed
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
19.06.2024 19:19,Moscow,Clouds,overcast clouds,21.59,21.42,1010,4.25
